"id","price","room_type"
20196464,NA,"Entire home/apt"
1005945620349053824,200,"Private room"
43612639,80,"Private room"
1224117475056038144,43,"Private room"
1174000674878488064,250,"Entire home/apt"
54395062,245,"Entire home/apt"
1042002912312009344,250,"Entire home/apt"
23224129,80,"Private room"
1203866180302079232,66,"Private room"
26327452,75,"Private room"
1139789223673640320,35,"Private room"
768469248929332224,150,"Private room"
805863165104844800,49,"Private room"
1032927026252673152,71,"Entire home/apt"
42220146,99,"Private room"
2999527,600,"Entire home/apt"
10350976,105,"Entire home/apt"
613045587854720384,250,"Private room"
47276861,529,"Entire home/apt"
868172672914462336,51,"Private room"
974059099437963904,80,"Entire home/apt"
25235760,43,"Private room"
939431170319588480,150,"Entire home/apt"
24784400,100,"Entire home/apt"
1081935749436412288,120,"Entire home/apt"
54131340,140,"Entire home/apt"
818879228507700736,65,"Private room"
53357250,100,"Private room"
773214568696699008,282,"Entire home/apt"
1138585505172289408,224,"Entire home/apt"
1051505442588448768,322,"Entire home/apt"
766040817482157696,146,"Entire home/apt"
982787887777810304,124,"Private room"
1826701,65,"Private room"
33937466,100,"Private room"
975923866742134272,187,"Private room"
632632066789092224,60,"Private room"
8190747,75,"Private room"
4668244,150,"Private room"
1090118807511156992,50,"Entire home/apt"
1204425369999207168,48,"Private room"
45988097,329,"Entire home/apt"
21881709,NA,"Private room"
654544771425247872,104,"Private room"
973354135681593472,52,"Private room"
837867086560680704,150,"Entire home/apt"
947506677820065408,70,"Entire home/apt"
1164402494958427904,33,"Private room"
828902214755540608,50,"Private room"
715501176123029888,124,"Entire home/apt"
627075354277215360,95,"Private room"
948454620122891264,65,"Shared room"
32670456,74,"Entire home/apt"
1112943486461239168,142,"Entire home/apt"
16962471,137,"Private room"
869485537018723072,115,"Private room"
1220992923841391360,99,"Private room"
1213604454071404544,NA,"Private room"
23005685,NA,"Private room"
22328208,NA,"Private room"
735551051888273920,NA,"Entire home/apt"
22338613,NA,"Entire home/apt"
23597323,NA,"Entire home/apt"
23103116,NA,"Private room"
22436168,NA,"Private room"
4768030,NA,"Private room"
22011311,NA,"Private room"
4814075,NA,"Private room"
22017804,NA,"Private room"
22208315,NA,"Private room"
22504678,NA,"Private room"
4612401,NA,"Private room"
1080563234569887488,150,"Private room"
1020696614069404288,85,"Private room"
21539835,NA,"Entire home/apt"
21868813,NA,"Entire home/apt"
21924815,NA,"Private room"
22651614,NA,"Private room"
22337162,NA,"Private room"
22341716,NA,"Entire home/apt"
22360657,NA,"Entire home/apt"
23647298,NA,"Entire home/apt"
22436899,NA,"Entire home/apt"
3836180,NA,"Entire home/apt"
4907749,NA,"Private room"
960875317288334592,175,"Private room"
27958130,NA,"Private room"
25492095,NA,"Private room"
29898471,NA,"Entire home/apt"
26524625,NA,"Private room"
25834425,NA,"Entire home/apt"
46679248,NA,"Private room"
2216470,NA,"Private room"
1210344755949601792,NA,"Entire home/apt"
23484328,NA,"Private room"
21943047,NA,"Private room"
21950012,NA,"Entire home/apt"
22781825,NA,"Entire home/apt"
22392030,NA,"Entire home/apt"
22862864,NA,"Private room"
23275013,NA,"Entire home/apt"
29125444,NA,"Entire home/apt"
886529699184775808,162,"Entire home/apt"
27965802,NA,"Private room"
29338253,NA,"Private room"
26744053,NA,"Private room"
25870448,NA,"Entire home/apt"
30101694,NA,"Entire home/apt"
26867170,NA,"Entire home/apt"
24799677,NA,"Private room"
29628681,NA,"Entire home/apt"
27301758,NA,"Entire home/apt"
710385606950283136,82,"Private room"
27528935,NA,"Private room"
28979690,NA,"Private room"
26362898,NA,"Private room"
29922930,NA,"Entire home/apt"
28223260,NA,"Entire home/apt"
26604019,NA,"Entire home/apt"
29414633,NA,"Shared room"
25719757,NA,"Entire home/apt"
29923634,NA,"Hotel room"
29539252,NA,"Private room"
1013896771741699712,76,"Private room"
27334148,NA,"Entire home/apt"
24919398,NA,"Private room"
28760750,NA,"Private room"
29740134,NA,"Private room"
29760740,NA,"Private room"
28992518,NA,"Entire home/apt"
25082817,NA,"Entire home/apt"
26228457,NA,"Private room"
31209182,NA,"Private room"
26839660,NA,"Entire home/apt"
26892245,NA,"Private room"
29565064,NA,"Entire home/apt"
25943635,NA,"Private room"
27398972,NA,"Private room"
26038936,NA,"Private room"
27437662,NA,"Entire home/apt"
28784319,NA,"Private room"
27609132,NA,"Entire home/apt"
25029794,NA,"Entire home/apt"
29686576,NA,"Entire home/apt"
27759146,NA,"Shared room"
30823647,NA,"Private room"
31172569,NA,"Entire home/apt"
31518329,NA,"Private room"
34053516,NA,"Entire home/apt"
31894643,NA,"Entire home/apt"
34056679,NA,"Private room"
30393427,NA,"Private room"
37467145,NA,"Shared room"
39631364,NA,"Entire home/apt"
42096541,NA,"Shared room"
37940346,NA,"Private room"
40008777,NA,"Private room"
40965070,NA,"Entire home/apt"
41010459,NA,"Entire home/apt"
36413532,NA,"Private room"
31332746,NA,"Private room"
35196872,NA,"Private room"
31420503,NA,"Entire home/apt"
30120427,NA,"Entire home/apt"
30322497,NA,"Entire home/apt"
31847270,NA,"Private room"
39424633,NA,"Private room"
37718522,NA,"Private room"
42038789,NA,"Private room"
42054081,NA,"Private room"
42115999,NA,"Private room"
39953432,NA,"Private room"
36204465,NA,"Private room"
40181084,NA,"Private room"
29800927,NA,"Entire home/apt"
27746387,NA,"Entire home/apt"
30768969,NA,"Private room"
33970585,NA,"Private room"
30352862,NA,"Private room"
34051381,NA,"Entire home/apt"
34251664,NA,"Private room"
40708764,NA,"Private room"
42883053,NA,"Private room"
39633723,NA,"Private room"
39937438,NA,"Entire home/apt"
40056966,NA,"Private room"
42194646,NA,"Entire home/apt"
43422411,NA,"Entire home/apt"
38105387,NA,"Entire home/apt"
41036391,NA,"Private room"
38456813,NA,"Entire home/apt"
36602945,NA,"Private room"
41348519,NA,"Private room"
38984304,NA,"Private room"
40624423,NA,"Shared room"
50486817,NA,"Private room"
48381141,NA,"Private room"
52553481,NA,"Entire home/apt"
50873649,NA,"Private room"
50922065,NA,"Private room"
46687219,NA,"Entire home/apt"
49030864,NA,"Private room"
51227326,NA,"Private room"
52757238,NA,"Entire home/apt"
41048204,NA,"Entire home/apt"
40233539,NA,"Private room"
41091413,NA,"Private room"
41112420,NA,"Private room"
38584735,NA,"Private room"
41352511,NA,"Private room"
41664099,NA,"Private room"
42774089,NA,"Entire home/apt"
46180394,NA,"Private room"
50519901,NA,"Private room"
52553466,NA,"Entire home/apt"
52583253,NA,"Entire home/apt"
48773575,NA,"Entire home/apt"
48913889,NA,"Entire home/apt"
43977634,NA,"Entire home/apt"
44063431,NA,"Entire home/apt"
29800915,59,"Entire home/apt"
42381143,NA,"Entire home/apt"
40419375,NA,"Private room"
40513927,NA,"Private room"
37184442,NA,"Private room"
48298348,NA,"Private room"
52553202,NA,"Entire home/apt"
52553524,NA,"Entire home/apt"
43637634,NA,"Entire home/apt"
43699905,NA,"Entire home/apt"
43822047,NA,"Entire home/apt"
46687986,NA,"Private room"
51214015,NA,"Entire home/apt"
49176281,NA,"Private room"
51454608,NA,"Entire home/apt"
49465882,NA,"Entire home/apt"
53366287,NA,"Entire home/apt"
45087157,NA,"Entire home/apt"
45079976,NA,"Private room"
45290301,NA,"Entire home/apt"
49898771,NA,"Private room"
47469926,NA,"Private room"
52244717,NA,"Entire home/apt"
50289003,NA,"Entire home/apt"
46005473,NA,"Private room"
556637820525993920,45,"Private room"
51278279,NA,"Private room"
44463474,NA,"Entire home/apt"
49540622,NA,"Private room"
44677711,NA,"Private room"
47232956,NA,"Entire home/apt"
1047936827694607872,54,"Private room"
51903949,NA,"Private room"
50230422,NA,"Entire home/apt"
572326531219816192,402,"Entire home/apt"
48081712,NA,"Private room"
48127867,NA,"Private room"
52438125,NA,"Private room"
803650915671560704,NA,"Private room"
15476794,125,"Entire home/apt"
39411592,70,"Private room"
53916899,NA,"Private room"
810938711482534400,NA,"Private room"
761035694084645376,NA,"Entire home/apt"
44058636,NA,"Private room"
44376319,NA,"Private room"
49441328,NA,"Private room"
53370561,NA,"Private room"
44867899,NA,"Private room"
1167308666261923584,144,"Private room"
47370088,NA,"Entire home/apt"
45485378,NA,"Private room"
50052647,NA,"Private room"
45673206,NA,"Private room"
45842595,NA,"Private room"
45891693,NA,"Private room"
52397728,NA,"Private room"
777572930730588544,NA,"Private room"
816693930212687616,NA,"Entire home/apt"
788537271422081536,NA,"Entire home/apt"
542970756349440704,NA,"Private room"
53343701,500,"Entire home/apt"
720247617339715072,NA,"Entire home/apt"
570245065716823872,700,"Private room"
564290411806986496,NA,"Entire home/apt"
1099961724205695744,NA,"Private room"
54694,NA,"Private room"
802687894128187648,NA,"Private room"
597137689589326592,NA,"Private room"
808440915774530560,NA,"Private room"
781375615513612672,NA,"Entire home/apt"
724517724355614720,66,"Private room"
968830288719518336,280,"Shared room"
813700516397481344,NA,"Entire home/apt"
763925205378424320,NA,"Private room"
643339344703990400,NA,"Private room"
751699636457395712,70,"Private room"
654726207711040000,NA,"Private room"
770566178748431360,NA,"Entire home/apt"
737077373962465152,NA,"Entire home/apt"
587519,NA,"Private room"
71384,NA,"Entire home/apt"
855858117414211072,NA,"Private room"
866730343707283328,NA,"Entire home/apt"
228925,NA,"Entire home/apt"
950723475007097088,NA,"Private room"
1146548462465101568,190,"Entire home/apt"
1078601786069704960,NA,"Private room"
54057539,NA,"Private room"
548999032692933248,NA,"Private room"
43530040,66,"Entire home/apt"
655276640634508544,NA,"Private room"
564251310292031936,NA,"Entire home/apt"
1089948791141810816,NA,"Private room"
838047027381953920,NA,"Private room"
842313497808225024,NA,"Private room"
862322431639063040,NA,"Entire home/apt"
231154,NA,"Private room"
250537,NA,"Entire home/apt"
1045137924335303168,NA,"Entire home/apt"
1063244517755537792,NA,"Private room"
1113150723967169152,NA,"Entire home/apt"
4422017,NA,"Private room"
2329047,NA,"Entire home/apt"
4447611,NA,"Entire home/apt"
2521670,NA,"Entire home/apt"
5277117,NA,"Private room"
987616,NA,"Entire home/apt"
89427,NA,"Entire home/apt"
925972240218569216,NA,"Entire home/apt"
892463,NA,"Entire home/apt"
952784702776622080,NA,"Private room"
1065504615423832576,NA,"Private room"
963340164193366016,NA,"Private room"
2271504,NA,"Entire home/apt"
4756125,NA,"Private room"
3703037,NA,"Entire home/apt"
2392814,NA,"Private room"
4479556,NA,"Entire home/apt"
2636396,NA,"Private room"
3122230,NA,"Private room"
35496842,70,"Entire home/apt"
1589248,NA,"Entire home/apt"
3368427,NA,"Private room"
1717215,NA,"Private room"
4853287,NA,"Entire home/apt"
4611256,NA,"Private room"
4144630,NA,"Private room"
2043329,NA,"Entire home/apt"
4392066,NA,"Private room"
2294594,NA,"Private room"
2310008,NA,"Private room"
3780746,NA,"Private room"
2532068,NA,"Private room"
2788298,NA,"Entire home/apt"
1215836,NA,"Entire home/apt"
4540852,NA,"Private room"
4846877,NA,"Private room"
1876969,NA,"Entire home/apt"
4128450,NA,"Entire home/apt"
4629726,NA,"Entire home/apt"
4172633,NA,"Entire home/apt"
4663807,NA,"Entire home/apt"
4263488,NA,"Entire home/apt"
4686678,NA,"Entire home/apt"
4707159,NA,"Private room"
4350406,NA,"Entire home/apt"
4720558,NA,"Private room"
726038186245782016,73,"Entire home/apt"
839233785270413824,40,"Private room"
1000972009684425088,45,"Private room"
5729530,NA,"Entire home/apt"
2904571,NA,"Entire home/apt"
4803623,NA,"Entire home/apt"
4006264,NA,"Entire home/apt"
3378585,NA,"Entire home/apt"
1788989,NA,"Entire home/apt"
1886240,NA,"Entire home/apt"
4619579,NA,"Entire home/apt"
2003807,NA,"Entire home/apt"
2055467,NA,"Entire home/apt"
4227018,NA,"Shared room"
2116940,NA,"Entire home/apt"
2243769,NA,"Entire home/apt"
891259523090721280,72,"Entire home/apt"
21818110,48,"Private room"
921731972122044672,955,"Private room"
7010135,NA,"Shared room"
48738829,NA,"Private room"
3533741,NA,"Private room"
24582124,NA,"Private room"
54263674,100,"Entire home/apt"
736216685759993216,84,"Private room"
4243533,NA,"Private room"
3629580,NA,"Private room"
2204672,NA,"Private room"
958972019916575232,53,"Private room"
902225058371011584,100,"Private room"
906708901829665664,105,"Entire home/apt"
7646092,NA,"Private room"
10001022,NA,"Entire home/apt"
6359266,NA,"Private room"
37557533,NA,"Entire home/apt"
40538599,NA,"Entire home/apt"
4054332,NA,"Private room"
50620816,NA,"Private room"
937880575429081472,199,"Entire home/apt"
37262517,160,"Entire home/apt"
583325206900651136,46,"Private room"
714525159374684032,338,"Entire home/apt"
53358037,250,"Entire home/apt"
836466517534567936,185,"Entire home/apt"
820166028658823552,90,"Entire home/apt"
552782382741181888,50,"Private room"
781954441500424960,NA,"Entire home/apt"
10412006,NA,"Entire home/apt"
48194167,NA,"Private room"
27361805,NA,"Private room"
31383493,NA,"Private room"
1224652167402740480,191,"Entire home/apt"
1097848686671488000,57,"Private room"
595025950780985600,98,"Entire home/apt"
820361475735199744,159,"Entire home/apt"
765990025204967552,71,"Private room"
39340734,75,"Private room"
