"latitude","longitude","neighbourhood","neighbourhood_cleansed","neighbourhood_group_cleansed","price","room_type","numb_dollar"
40.72056,-73.9473,"Neighborhood highlights","Greenpoint","Brooklyn",NA,"Entire home/apt",NA
40.71465,-74.00552,"Neighborhood highlights","Civic Center","Manhattan",NA,"Private room",NA
40.83551,-73.93923,"","Washington Heights","Manhattan",NA,"Private room",NA
40.72682,-73.97845,"","East Village","Manhattan",NA,"Entire home/apt",NA
40.76142,-73.9936,"","Hell's Kitchen","Manhattan",NA,"Entire home/apt",NA
40.68927,-73.95277,"","Bedford-Stuyvesant","Brooklyn",NA,"Entire home/apt",NA
40.81483,-73.9609,"","Morningside Heights","Manhattan",NA,"Private room",NA
40.70352,-73.93104,"","Bushwick","Brooklyn",NA,"Private room",NA
40.7412,-73.98286,"","Kips Bay","Manhattan",136,"Private room",136
40.78372,-73.95333,"","Upper East Side","Manhattan",NA,"Entire home/apt",NA
40.74801,-73.97391,"","Murray Hill","Manhattan",NA,"Private room",NA
40.76735,-73.95548,"","Upper East Side","Manhattan",NA,"Entire home/apt",NA
40.72309,-73.98926,"","Lower East Side","Manhattan",NA,"Private room",NA
40.76297,-73.92696,"Neighborhood highlights","Astoria","Queens",NA,"Entire home/apt",NA
40.71574,-73.98962,"","Lower East Side","Manhattan",NA,"Private room",NA
40.69084,-73.92075,"","Bushwick","Brooklyn",NA,"Private room",NA
40.73379,-73.98031,"","Stuyvesant Town","Manhattan",NA,"Private room",NA
40.82034,-73.94345,"","Harlem","Manhattan",NA,"Private room",NA
40.80351,-73.95086,"","Harlem","Manhattan",NA,"Private room",NA
40.71405,-73.94129,"","Williamsburg","Brooklyn",NA,"Private room",NA
40.6927681168614,-73.917343022711,"","Bushwick","Brooklyn",40,"Private room",40
40.68808,-73.9206,"","Bedford-Stuyvesant","Brooklyn",NA,"Private room",NA
40.74379,-73.99707,"","Chelsea","Manhattan",NA,"Entire home/apt",NA
40.70964,-73.96065,"","Williamsburg","Brooklyn",NA,"Private room",NA
40.69011,-73.98053,"","Fort Greene","Brooklyn",NA,"Entire home/apt",NA
40.73739,-73.99758,"Neighborhood highlights","West Village","Manhattan",NA,"Entire home/apt",NA
40.79713,-73.96235,"","Upper West Side","Manhattan",NA,"Entire home/apt",NA
40.80083,-73.95584,"","Harlem","Manhattan",NA,"Private room",NA
40.67873,-73.94699,"","Bedford-Stuyvesant","Brooklyn",NA,"Entire home/apt",NA
40.76541,-73.98321,"","Midtown","Manhattan",NA,"Entire home/apt",NA
40.72658,-73.94031,"","Greenpoint","Brooklyn",NA,"Entire home/apt",NA
40.73326,-74.00186,"","West Village","Manhattan",NA,"Entire home/apt",NA
40.69784,-73.9284,"","Bushwick","Brooklyn",NA,"Private room",NA
40.74763,-73.98931,"","Chelsea","Manhattan",NA,"Entire home/apt",NA
40.71712,-73.98532,"Neighborhood highlights","Lower East Side","Manhattan",NA,"Entire home/apt",NA
40.74325,-73.9735,"","Kips Bay","Manhattan",NA,"Entire home/apt",NA
40.60068,-73.95894,"","Sheepshead Bay","Brooklyn",NA,"Private room",NA
40.70641,-74.0165,"","Battery Park City","Manhattan",NA,"Entire home/apt",NA
40.76341,-73.99098,"","Hell's Kitchen","Manhattan",NA,"Private room",NA
40.74068,-73.98117,"","Kips Bay","Manhattan",NA,"Entire home/apt",NA
40.7274588127168,-74.0090563143898,"","SoHo","Manhattan",600,"Entire home/apt",600
40.72184,-73.99626,"","Nolita","Manhattan",NA,"Entire home/apt",NA
40.69951,-73.93632,"Neighborhood highlights","Bushwick","Brooklyn",NA,"Shared room",NA
40.79358,-73.96527,"","Upper West Side","Manhattan",NA,"Entire home/apt",NA
40.81597,-73.94705,"","Harlem","Manhattan",NA,"Private room",NA
40.68834,-73.98601,"","Boerum Hill","Brooklyn",NA,"Private room",NA
40.65685,-73.95287,"","Prospect-Lefferts Gardens","Brooklyn",NA,"Private room",NA
40.7064,-73.83327,"","Kew Gardens","Queens",NA,"Private room",NA
40.7172,-73.95557,"Neighborhood highlights","Williamsburg","Brooklyn",NA,"Entire home/apt",NA
40.75657,-73.99452,"","Hell's Kitchen","Manhattan",NA,"Entire home/apt",NA
40.71102,-73.95085,"","Williamsburg","Brooklyn",NA,"Private room",NA
40.64631,-73.96258,"","Flatbush","Brooklyn",NA,"Entire home/apt",NA
40.78473,-73.98466,"","Upper West Side","Manhattan",NA,"Entire home/apt",NA
40.72184,-73.9868,"","Lower East Side","Manhattan",NA,"Private room",NA
40.68731,-73.96446,"","Clinton Hill","Brooklyn",NA,"Entire home/apt",NA
40.71371,-73.96357,"","Williamsburg","Brooklyn",NA,"Entire home/apt",NA
40.71279,-73.98812,"","Lower East Side","Manhattan",NA,"Private room",NA
40.68678,-73.95572,"","Bedford-Stuyvesant","Brooklyn",NA,"Private room",NA
40.66852,-73.93273,"","Crown Heights","Brooklyn",NA,"Private room",NA
40.71986,-73.95368,"","Greenpoint","Brooklyn",NA,"Entire home/apt",NA
40.73631,-73.98525,"","Gramercy","Manhattan",NA,"Private room",NA
40.80324,-73.96517,"","Upper West Side","Manhattan",NA,"Entire home/apt",NA
40.75788,-73.99707,"","Hell's Kitchen","Manhattan",NA,"Entire home/apt",NA
40.77723,-73.96133,"","Upper East Side","Manhattan",NA,"Entire home/apt",NA
40.85999,-73.9285,"","Inwood","Manhattan",NA,"Entire home/apt",NA
40.71456,-73.94209,"","Williamsburg","Brooklyn",NA,"Private room",NA
40.67823,-73.96225,"","Crown Heights","Brooklyn",NA,"Private room",NA
40.72617,-73.98734,"","East Village","Manhattan",NA,"Entire home/apt",NA
40.67747,-73.91064,"","Bedford-Stuyvesant","Brooklyn",NA,"Entire home/apt",NA
40.77944,-73.98518,"","Upper West Side","Manhattan",NA,"Entire home/apt",NA
40.67651,-73.95765,"","Crown Heights","Brooklyn",NA,"Entire home/apt",NA
40.70899,-74.01401,"","Financial District","Manhattan",NA,"Entire home/apt",NA
40.721,-73.95924,"","Williamsburg","Brooklyn",NA,"Private room",NA
40.78838,-73.97892,"","Upper West Side","Manhattan",NA,"Entire home/apt",NA
40.73147,-74.00938,"","West Village","Manhattan",NA,"Entire home/apt",NA
40.72483,-73.94429,"","Greenpoint","Brooklyn",NA,"Private room",NA
40.80418,-73.95513,"","Harlem","Manhattan",NA,"Private room",NA
40.71369,-74.00477,"","Civic Center","Manhattan",NA,"Private room",NA
40.73991,-73.98204,"","Kips Bay","Manhattan",NA,"Entire home/apt",NA
40.74327,-73.91284,"","Sunnyside","Queens",NA,"Private room",NA
40.84918,-73.93472,"","Washington Heights","Manhattan",NA,"Private room",NA
40.70393,-73.9263,"","Bushwick","Brooklyn",NA,"Entire home/apt",NA
40.73404,-74.00955,"","West Village","Manhattan",NA,"Entire home/apt",NA
40.76827,-73.9146,"","Astoria","Queens",NA,"Private room",NA
40.77798,-73.94704,"","Upper East Side","Manhattan",NA,"Entire home/apt",NA
40.8718912840683,-73.8653096958327,"","Williamsbridge","Bronx",NA,"Private room",NA
40.73682,-73.875,"","Elmhurst","Queens",NA,"Private room",NA
40.72656,-74.00253,"","SoHo","Manhattan",NA,"Entire home/apt",NA
40.70383,-73.92853,"","Bushwick","Brooklyn",NA,"Private room",NA
40.71488,-73.96148,"","Williamsburg","Brooklyn",NA,"Private room",NA
40.75486,-73.91782,"","Long Island City","Queens",NA,"Entire home/apt",NA
40.75944,-73.96704,"","Midtown","Manhattan",NA,"Private room",NA
40.74542,-73.99642,"","Chelsea","Manhattan",NA,"Entire home/apt",NA
40.73435,-73.98359,"","Gramercy","Manhattan",NA,"Private room",NA
40.77133,-73.98292,"","Upper West Side","Manhattan",NA,"Entire home/apt",NA
40.69391,-73.93758,"","Bedford-Stuyvesant","Brooklyn",NA,"Private room",NA
40.68458,-73.93209,"","Bedford-Stuyvesant","Brooklyn",NA,"Private room",NA
40.76039,-73.98901,"","Hell's Kitchen","Manhattan",NA,"Entire home/apt",NA
40.73228,-74.0077,"","West Village","Manhattan",NA,"Entire home/apt",NA
40.73251,-74.00384,"","West Village","Manhattan",NA,"Entire home/apt",NA
40.70626,-73.91962,"Neighborhood highlights","Bushwick","Brooklyn",NA,"Entire home/apt",NA
40.76015,-73.79105,"","Flushing","Queens",NA,"Entire home/apt",NA
40.72949,-73.98012,"","East Village","Manhattan",NA,"Private room",NA
40.72252,-73.98113,"","East Village","Manhattan",NA,"Private room",NA
40.77144,-73.95511,"Neighborhood highlights","Upper East Side","Manhattan",NA,"Entire home/apt",NA
40.67354,-73.96207,"","Crown Heights","Brooklyn",NA,"Entire home/apt",NA
40.80314,-73.96584,"","Upper West Side","Manhattan",NA,"Private room",NA
40.72845,-74.00043,"","Greenwich Village","Manhattan",NA,"Private room",NA
40.70249,-73.89557,"","Ridgewood","Queens",NA,"Private room",NA
40.69069,-73.96708,"","Clinton Hill","Brooklyn",NA,"Entire home/apt",NA
40.72104,-73.98762,"","Lower East Side","Manhattan",NA,"Entire home/apt",NA
40.77314,-73.91524,"","Ditmars Steinway","Queens",NA,"Private room",NA
40.78706,-73.94363,"","East Harlem","Manhattan",NA,"Entire home/apt",NA
40.6093240375948,-73.9190896732976,"","Mill Basin","Brooklyn",444,"Entire home/apt",444
40.63942,-73.90801,"","Canarsie","Brooklyn",97,"Private room",97
40.6642734,-73.7626558,"","Springfield Gardens","Queens",165,"Entire home/apt",165
40.846026081998,-73.9191095495837,"","Morris Heights","Bronx",65,"Private room",65
40.60424,-73.987,"","Gravesend","Brooklyn",160,"Private room",160
40.84405,-73.93773,"","Washington Heights","Manhattan",125,"Private room",125
40.8251719615675,-73.9434432399633,"","Harlem","Manhattan",468,"Entire home/apt",468
40.83311,-73.94238,"Neighborhood highlights","Washington Heights","Manhattan",75,"Entire home/apt",75
40.6524770426575,-73.9550184832932,"","Flatbush","Brooklyn",219,"Entire home/apt",219
40.84358,-73.94147,"","Washington Heights","Manhattan",60,"Shared room",60
40.8674,-73.92379,"","Inwood","Manhattan",59,"Private room",59
40.77086,-73.95536,"","Upper East Side","Manhattan",NA,"Entire home/apt",NA
40.69408,-73.94863,"","Bedford-Stuyvesant","Brooklyn",NA,"Private room",NA
40.78146,-73.94911,"","Upper East Side","Manhattan",NA,"Entire home/apt",NA
40.77726,-73.97919,"","Upper West Side","Manhattan",NA,"Entire home/apt",NA
40.84997,-73.90331,"","Mount Hope","Bronx",200,"Private room",200
40.74541,-73.83311,"","Flushing","Queens",80,"Private room",80
40.6720544020196,-73.861395472302,"","East New York","Brooklyn",43,"Private room",43
40.61881,-74.0323824,"","Fort Hamilton","Brooklyn",250,"Entire home/apt",250
40.70453,-73.89898,"","Ridgewood","Queens",245,"Entire home/apt",245
40.7123332085379,-73.9404632429256,"","Williamsburg","Brooklyn",250,"Entire home/apt",250
40.83641,-73.92331,"","Highbridge","Bronx",80,"Private room",80
40.6773528418897,-73.9451026221051,"","Crown Heights","Brooklyn",66,"Private room",66
40.67667,-73.95273,"","Crown Heights","Brooklyn",75,"Private room",75
40.71392,-73.91127,"","Maspeth","Queens",35,"Private room",35
40.6690373,-73.8878795,"","East New York","Brooklyn",150,"Private room",150
40.8197197574525,-73.8984733848356,"","Longwood","Bronx",49,"Private room",49
40.6479398,-73.9306319,"","East Flatbush","Brooklyn",71,"Entire home/apt",71
40.60026,-73.95793,"","Sheepshead Bay","Brooklyn",99,"Private room",99
40.70512,-74.01622,"","Financial District","Manhattan",600,"Entire home/apt",600
40.8286831131034,-73.9434539526701,"","Harlem","Manhattan",105,"Entire home/apt",105
40.84601,-73.93681,"","Washington Heights","Manhattan",250,"Private room",250
40.70682,-73.90414,"","Ridgewood","Queens",529,"Entire home/apt",529
40.6966,-73.97475,"Neighborhood highlights","Fort Greene","Brooklyn",51,"Private room",51
40.6807677199674,-73.879801240644,"","Cypress Hills","Brooklyn",80,"Entire home/apt",80
40.77221,-73.92885,"","Astoria","Queens",43,"Private room",43
40.6637,-73.89018,"","East New York","Brooklyn",150,"Entire home/apt",150
40.75505,-73.8964,"","East Elmhurst","Queens",100,"Entire home/apt",100
40.6588689456461,-73.7577032021868,"","Springfield Gardens","Queens",120,"Entire home/apt",120
40.72883,-73.86942,"","Rego Park","Queens",140,"Entire home/apt",140
40.65119,-73.92418,"Neighborhood highlights","East Flatbush","Brooklyn",65,"Private room",65
40.79361,-73.94553,"","East Harlem","Manhattan",100,"Private room",100
40.67327,-73.92352,"","Crown Heights","Brooklyn",282,"Entire home/apt",282
40.7545260529834,-73.9966701978014,"","Hell's Kitchen","Manhattan",224,"Entire home/apt",224
40.74306,-73.99398,"","Chelsea","Manhattan",322,"Entire home/apt",322
40.7131588,-73.9613077,"Neighborhood highlights","Williamsburg","Brooklyn",146,"Entire home/apt",146
40.746378046145,-73.9129481629366,"Neighborhood highlights","Sunnyside","Queens",124,"Private room",124
40.82357,-73.95484,"Neighborhood highlights","Harlem","Manhattan",65,"Private room",65
40.76683,-73.91775,"Neighborhood highlights","Astoria","Queens",100,"Private room",100
40.677577267044,-74.0009430856472,"","Carroll Gardens","Brooklyn",187,"Private room",187
40.75417,-73.93841,"","Long Island City","Queens",60,"Private room",60
40.74836,-73.9133,"","Sunnyside","Queens",75,"Private room",75
40.80633,-73.95058,"","Harlem","Manhattan",150,"Private room",150
40.74717,-73.94083,"","Long Island City","Queens",50,"Entire home/apt",50
40.80778,-73.94591,"","Harlem","Manhattan",48,"Private room",48
40.74384,-73.91047,"Neighborhood highlights","Woodside","Queens",329,"Entire home/apt",329
40.75096,-73.97166,"Neighborhood highlights","Midtown","Manhattan",NA,"Private room",NA
40.62358,-73.91814,"Neighborhood highlights","Flatlands","Brooklyn",104,"Private room",104
40.68285,-73.88615,"","Cypress Hills","Brooklyn",52,"Private room",52
40.7669564745801,-73.9193536453531,"","Astoria","Queens",150,"Entire home/apt",150
40.64128,-73.90671,"","Canarsie","Brooklyn",70,"Entire home/apt",70
40.8703375,-73.9024598,"","Kingsbridge","Bronx",33,"Private room",33
40.6149381966608,-73.9999244491553,"","Bensonhurst","Brooklyn",50,"Private room",50
40.82379,-73.92611,"","Concourse","Bronx",124,"Entire home/apt",124
40.75548,-73.91878,"","Long Island City","Queens",95,"Private room",95
40.66418,-73.93966,"","Crown Heights","Brooklyn",65,"Shared room",65
40.78102,-73.9774,"","Upper West Side","Manhattan",74,"Entire home/apt",74
40.7754571670109,-73.9775702966621,"","Upper West Side","Manhattan",142,"Entire home/apt",142
40.80486,-73.95101,"","Harlem","Manhattan",137,"Private room",137
40.6951008199702,-73.9076223363533,"","Bushwick","Brooklyn",115,"Private room",115
40.75713,-73.99157,"","Hell's Kitchen","Manhattan",99,"Private room",99
40.75935,-73.9834,"","Theater District","Manhattan",NA,"Private room",NA
40.71379,-74.01092,"","Tribeca","Manhattan",NA,"Private room",NA
40.81737,-73.94244,"","Harlem","Manhattan",NA,"Private room",NA
40.69884,-73.97665,"","Navy Yard","Brooklyn",NA,"Entire home/apt",NA
40.83191,-73.94776,"Neighborhood highlights","Harlem","Manhattan",NA,"Entire home/apt",NA
