"id","price","availability_30","availability_60","availability_90","availability_365","month_year"
13945103,NA,0,0,0,0,2016-09-01
6302996,NA,0,0,0,0,NA
10813133,NA,0,0,0,0,NA
6443330,NA,0,0,0,0,NA
10995810,NA,0,0,0,0,NA
9292072,NA,0,0,0,0,NA
1147817758934173824,NA,24,54,84,358,NA
9336526,NA,0,0,0,0,NA
6775098,NA,0,0,0,0,NA
9430502,NA,0,0,0,0,NA
6927027,NA,0,0,0,0,2015-12-01
6950807,NA,0,0,0,0,2016-08-01
7023818,NA,0,0,0,0,2020-01-01
9609825,NA,0,0,0,0,2017-09-01
13764238,NA,0,0,0,0,2016-07-01
19134330,NA,0,0,0,0,2017-06-01
19466060,NA,0,0,0,0,2017-12-01
19694308,NA,0,0,0,0,2017-08-01
19910666,NA,0,0,0,0,NA
16349645,NA,0,0,0,0,2017-01-01
6636389,NA,0,0,0,0,NA
9297852,NA,0,0,0,0,2017-11-01
11242469,NA,0,0,0,0,NA
6806282,NA,0,0,0,0,NA
9435315,NA,0,0,0,0,NA
9464137,NA,0,0,0,0,2016-09-01
12941306,NA,0,0,0,0,NA
13359416,NA,0,0,0,0,NA
13916105,NA,0,0,0,0,NA
14089282,NA,0,0,0,0,NA
14473545,NA,0,0,0,0,2018-01-01
19544404,NA,0,0,0,0,NA
15665120,NA,0,0,0,0,NA
20195539,NA,0,0,0,0,2017-10-01
810121182812488960,444,30,60,90,365,NA
1169735081820698112,97,28,58,88,88,NA
14216896,165,30,60,90,180,NA
946191121459066880,65,27,57,87,267,NA
33077083,160,29,59,89,269,2023-09-01
31178588,125,30,60,90,365,2023-09-01
1202874477964231936,468,30,60,90,270,NA
39929061,75,0,28,58,148,2024-07-01
880473158416436096,219,29,59,89,364,2023-05-01
53460762,60,30,60,90,365,NA
610418835243217792,59,0,29,59,334,2023-11-01
19313134,NA,0,0,0,0,NA
15036516,NA,0,0,0,0,NA
15145285,NA,0,0,0,0,NA
20196464,NA,0,0,0,0,NA
1005945620349053824,200,30,60,90,270,NA
43612639,80,29,59,89,364,2023-01-01
1224117475056038144,43,3,33,63,338,NA
1174000674878488064,250,30,60,90,270,NA
54395062,245,30,60,90,365,2024-08-01
1042002912312009344,250,30,60,90,90,NA
23224129,80,29,59,89,364,2023-08-01
1203866180302079232,66,29,59,89,269,NA
26327452,75,29,59,89,364,2019-11-01
1139789223673640320,35,0,3,3,116,NA
768469248929332224,150,29,59,89,364,NA
805863165104844800,49,29,59,89,364,2023-10-01
1032927026252673152,71,0,4,34,214,2023-12-01
42220146,99,29,59,89,179,NA
2999527,600,0,0,0,0,2014-05-01
10350976,105,0,2,32,307,NA
613045587854720384,250,30,60,90,365,2023-09-01
47276861,529,29,59,89,364,NA
868172672914462336,51,12,42,72,347,NA
974059099437963904,80,30,60,90,90,2023-09-01
25235760,43,28,56,86,361,2018-06-01
939431170319588480,150,22,52,82,262,2023-10-01
24784400,100,30,60,90,365,NA
1081935749436412288,120,30,60,90,365,NA
54131340,140,0,0,0,244,2023-09-01
818879228507700736,65,29,59,89,364,2023-09-01
53357250,100,27,57,87,362,2024-06-01
773214568696699008,282,30,60,90,365,2023-09-01
1138585505172289408,224,9,28,58,238,NA
1051505442588448768,322,3,4,21,103,NA
766040817482157696,146,4,4,4,55,2024-05-01
982787887777810304,124,6,31,61,151,2024-08-01
1826701,65,6,36,66,341,2019-08-01
33937466,100,28,58,88,363,2023-11-01
975923866742134272,187,29,59,89,269,NA
632632066789092224,60,30,60,90,365,NA
8190747,75,30,60,90,365,2019-09-01
4668244,150,30,60,90,365,2023-09-01
1090118807511156992,50,29,59,89,269,NA
1204425369999207168,48,4,34,64,339,NA
45988097,329,0,0,0,150,2023-12-01
21881709,NA,0,0,0,0,NA
654544771425247872,104,30,60,90,365,2023-09-01
973354135681593472,52,29,59,89,269,NA
837867086560680704,150,30,60,90,90,2023-08-01
947506677820065408,70,8,38,68,248,2023-12-01
1164402494958427904,33,28,58,88,268,NA
828902214755540608,50,27,57,87,267,2024-09-01
715501176123029888,124,30,60,90,365,NA
627075354277215360,95,30,60,90,365,NA
948454620122891264,65,29,59,89,364,NA
32670456,74,0,0,0,144,NA
1112943486461239168,142,0,0,0,96,NA
16962471,137,28,58,88,363,2022-09-01
869485537018723072,115,29,59,89,179,NA
1220992923841391360,99,30,60,89,89,NA
1213604454071404544,NA,0,0,0,0,NA
23005685,NA,0,0,0,0,NA
22328208,NA,0,0,0,0,NA
735551051888273920,NA,30,60,90,365,NA
22338613,NA,0,0,0,0,NA
23597323,NA,0,0,0,0,NA
23103116,NA,0,0,0,0,2018-03-01
22436168,NA,0,0,0,0,NA
4768030,NA,0,0,0,0,NA
22011311,NA,0,0,0,0,NA
4814075,NA,0,0,0,0,NA
22017804,NA,0,0,0,0,NA
22208315,NA,0,0,0,0,2018-01-01
22504678,NA,0,0,0,0,NA
4612401,NA,0,0,0,0,NA
1080563234569887488,150,29,59,89,89,NA
1020696614069404288,85,30,60,89,89,NA
21539835,NA,0,0,0,0,NA
21868813,NA,0,0,0,0,2017-12-01
21924815,NA,0,0,0,0,NA
22651614,NA,0,0,0,0,NA
22337162,NA,0,0,0,0,NA
22341716,NA,4,27,57,236,NA
22360657,NA,0,0,0,0,NA
23647298,NA,0,0,0,0,2018-08-01
22436899,NA,0,0,0,0,NA
3836180,NA,0,0,0,0,2016-06-01
4907749,NA,0,0,0,0,NA
960875317288334592,175,29,59,89,269,2023-10-01
27958130,NA,0,0,0,0,2018-10-01
25492095,NA,0,0,0,0,NA
29898471,NA,0,0,0,0,2020-01-01
26524625,NA,0,0,0,0,2019-11-01
25834425,NA,0,0,0,0,2018-06-01
46679248,NA,0,0,0,0,NA
2216470,NA,0,0,0,0,NA
1210344755949601792,NA,30,60,90,364,NA
23484328,NA,0,0,0,0,NA
21943047,NA,0,0,0,0,2018-05-01
21950012,NA,0,0,0,0,2018-01-01
22781825,NA,0,0,0,0,NA
22392030,NA,0,0,0,0,NA
22862864,NA,0,0,0,0,2018-02-01
23275013,NA,0,0,0,0,NA
29125444,NA,0,0,0,0,NA
886529699184775808,162,30,60,90,365,NA
27965802,NA,0,0,0,0,2019-02-01
29338253,NA,0,0,0,0,NA
26744053,NA,0,0,0,0,NA
25870448,NA,0,0,0,0,NA
30101694,NA,0,0,0,0,NA
26867170,NA,0,0,0,0,NA
24799677,NA,0,0,0,0,2018-05-01
29628681,NA,0,0,0,0,2018-12-01
27301758,NA,0,0,0,0,NA
710385606950283136,82,30,60,90,365,2023-08-01
27528935,NA,0,0,0,0,2019-03-01
28979690,NA,0,0,0,0,NA
26362898,NA,0,0,0,0,NA
29922930,NA,0,0,0,0,NA
28223260,NA,0,0,0,0,NA
26604019,NA,0,0,0,0,NA
29414633,NA,0,0,0,0,NA
25719757,NA,0,0,0,0,2018-08-01
29923634,NA,28,58,88,363,2019-06-01
29539252,NA,0,0,0,0,NA
1013896771741699712,76,30,60,90,90,NA
27334148,NA,0,0,0,0,2018-11-01
24919398,NA,0,0,0,0,NA
28760750,NA,0,0,0,0,NA
29740134,NA,0,0,0,0,NA
29760740,NA,0,0,0,0,2019-03-01
28992518,NA,0,0,0,0,2019-07-01
25082817,NA,30,60,90,179,NA
26228457,NA,6,7,10,10,2024-08-01
31209182,NA,0,0,0,0,NA
26839660,NA,28,58,88,178,NA
26892245,NA,0,0,0,0,2018-08-01
29565064,NA,0,0,0,0,NA
25943635,NA,0,0,0,0,NA
27398972,NA,0,0,0,0,NA
26038936,NA,0,0,0,0,2018-12-01
27437662,NA,0,0,0,0,NA
28784319,NA,0,0,0,0,NA
27609132,NA,0,0,0,0,NA
25029794,NA,0,0,0,0,2019-10-01
29686576,NA,0,0,0,0,2020-03-01
27759146,NA,0,0,0,0,2020-03-01
30823647,NA,0,0,0,0,NA
31172569,NA,0,0,0,0,NA
31518329,NA,0,0,0,0,NA
34053516,NA,0,0,0,0,NA
31894643,NA,0,0,0,0,2019-06-01
34056679,NA,0,0,0,0,2020-01-01
30393427,NA,0,0,0,0,NA
37467145,NA,0,0,0,0,NA
39631364,NA,0,0,0,0,2020-01-01
42096541,NA,0,0,0,0,NA
37940346,NA,0,0,0,0,NA
40008777,NA,0,0,0,0,NA
40965070,NA,0,0,0,0,NA
41010459,NA,0,0,0,0,NA
36413532,NA,0,0,0,0,NA
31332746,NA,0,0,0,0,NA
35196872,NA,0,0,0,0,NA
31420503,NA,0,0,0,0,2019-03-01
30120427,NA,0,0,0,0,2019-05-01
30322497,NA,0,0,0,0,2018-12-01
31847270,NA,0,0,0,0,2019-07-01
39424633,NA,0,0,0,0,2020-03-01
37718522,NA,0,0,0,0,2021-03-01
42038789,NA,0,0,0,0,NA
42054081,NA,0,0,0,0,NA
42115999,NA,0,0,0,0,NA
39953432,NA,0,0,0,0,2020-01-01
36204465,NA,0,0,0,0,2019-07-01
40181084,NA,0,0,0,0,NA
29800927,NA,0,0,0,0,NA
27746387,NA,0,0,0,0,2018-12-01
30768969,NA,0,0,0,0,NA
33970585,NA,0,0,0,0,2019-08-01
30352862,NA,0,0,0,0,NA
34051381,NA,0,0,0,0,NA
34251664,NA,0,0,0,0,NA
40708764,NA,0,0,0,0,2020-01-01
42883053,NA,0,0,0,0,NA
39633723,NA,0,0,0,0,NA
39937438,NA,0,0,0,0,NA
40056966,NA,0,0,0,0,2020-01-01
42194646,NA,30,60,90,270,NA
43422411,NA,0,0,0,0,NA
38105387,NA,0,0,0,0,NA
41036391,NA,0,0,0,0,NA
38456813,NA,0,0,0,0,2019-12-01
36602945,NA,0,0,0,0,2019-12-01
41348519,NA,0,0,0,0,2020-01-01
38984304,NA,0,0,0,0,NA
40624423,NA,0,0,0,0,2020-02-01
50486817,NA,0,0,0,0,2022-04-01
48381141,NA,0,0,0,0,NA
52553481,NA,0,0,0,0,2023-01-01
50873649,NA,0,0,0,0,2021-07-01
50922065,NA,0,0,0,0,NA
46687219,NA,0,0,0,0,NA
49030864,NA,0,0,0,0,NA
51227326,NA,1,1,1,1,2024-05-01
52757238,NA,0,0,0,0,2023-09-01
41048204,NA,0,0,0,0,2020-01-01
40233539,NA,0,0,0,0,2020-03-01
41091413,NA,0,0,0,0,NA
41112420,NA,0,0,0,0,2020-01-01
38584735,NA,0,0,0,0,NA
41352511,NA,0,0,0,0,NA
41664099,NA,0,0,0,0,2020-03-01
42774089,NA,0,0,0,0,NA
46180394,NA,0,0,0,0,NA
50519901,NA,0,0,0,0,NA
52553466,NA,0,0,0,0,2023-01-01
52583253,NA,0,0,0,0,NA
48773575,NA,0,0,0,0,2024-01-01
48913889,NA,0,0,0,0,2021-08-01
43977634,NA,0,0,0,0,NA
44063431,NA,0,0,0,0,NA
29800915,59,0,1,7,178,2023-10-01
42381143,NA,0,0,0,0,NA
40419375,NA,0,0,0,0,2020-02-01
40513927,NA,0,0,0,0,NA
37184442,NA,0,0,0,0,2019-12-01
48298348,NA,0,0,0,0,2022-02-01
52553202,NA,0,0,0,0,2023-01-01
52553524,NA,0,0,0,0,2022-12-01
43637634,NA,0,0,0,0,NA
43699905,NA,0,0,0,0,NA
43822047,NA,0,0,0,0,NA
46687986,NA,0,0,0,0,2021-03-01
51214015,NA,0,0,0,0,NA
49176281,NA,0,0,0,0,2021-05-01
51454608,NA,0,0,0,0,NA
49465882,NA,0,0,0,0,2021-05-01
53366287,NA,0,0,0,0,NA
45087157,NA,0,0,0,0,NA
45079976,NA,0,0,0,0,NA
45290301,NA,0,0,0,0,NA
49898771,NA,0,0,0,0,NA
47469926,NA,0,0,0,0,NA
52244717,NA,0,0,0,0,2022-01-01
50289003,NA,0,0,0,0,NA
46005473,NA,0,0,0,0,NA
556637820525993920,45,4,34,64,339,NA
51278279,NA,0,0,0,0,NA
44463474,NA,0,0,0,0,NA
49540622,NA,0,0,0,0,NA
44677711,NA,0,0,0,0,2021-01-01
47232956,NA,0,0,0,0,NA
1047936827694607872,54,30,60,90,270,NA
51903949,NA,0,0,0,0,2023-09-01
50230422,NA,0,0,0,0,NA
572326531219816192,402,0,10,40,315,NA
48081712,NA,0,0,0,0,NA
48127867,NA,0,0,0,97,NA
52438125,NA,30,60,90,365,NA
803650915671560704,NA,0,0,0,0,2023-10-01
15476794,125,30,60,90,365,NA
39411592,70,27,57,87,177,NA
53916899,NA,3,33,63,338,2023-03-01
810938711482534400,NA,0,0,0,158,NA
761035694084645376,NA,0,0,0,0,2023-01-01
44058636,NA,0,0,0,0,NA
44376319,NA,0,0,0,0,NA
49441328,NA,0,0,0,0,NA
53370561,NA,0,0,0,0,NA
44867899,NA,0,0,0,0,NA
1167308666261923584,144,29,59,89,269,NA
47370088,NA,0,0,0,0,2021-08-01
45485378,NA,0,0,0,0,2020-10-01
50052647,NA,0,0,0,0,NA
45673206,NA,0,0,0,0,NA
45842595,NA,0,19,19,19,NA
45891693,NA,0,0,0,0,NA
52397728,NA,0,0,0,0,NA
777572930730588544,NA,30,60,90,365,NA
816693930212687616,NA,0,0,0,0,2023-04-01
