id,room_type,accommodates,bathrooms,bedrooms,minimum_nights,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_value,wifi,parking,dryer,washer,kitchen,property_agg,log_price,superhost_t
28734298,3,2,1.0,1.0,30,5.8916442118257715,1.6094379124341003,4.8,4.6,4.6,1,0,0,0,1,5,5.66988092298052,0
28779900,2,1,2.0,1.0,30,0.0,2.833213344056216,4.47,4.94,4.41,1,1,0,0,1,5,3.828641396489095,1
28785091,2,2,1.0,1.0,30,5.8916442118257715,1.3862943611198906,4.75,5.0,4.5,1,1,0,0,1,5,4.31748811353631,1
28786315,2,1,2.0,5.0,30,5.056245805348308,2.8903717578961645,4.61,4.83,4.72,1,1,0,0,1,5,3.8501476017100584,1
28786900,2,1,2.0,5.0,30,5.4680601411351315,1.6094379124341003,5.0,5.0,5.0,1,1,0,0,1,5,3.912023005428146,1
28834703,3,2,1.0,1.0,2,5.755742213586912,6.19644412779452,4.93,4.94,4.83,1,1,1,1,1,1,5.648974238161206,1
28838673,3,5,2.0,2.0,30,5.19295685089021,5.424950017481403,4.96,4.97,4.88,1,1,1,1,1,4,6.018593214496234,0
28859648,2,1,1.0,1.0,30,4.477336814478207,0.6931471805599453,5.0,4.5,5.0,1,1,1,0,1,1,4.74493212836325,0
28891434,3,4,1.0,2.0,3,4.727387818712341,5.459585514144159,4.95,4.94,4.91,1,1,1,1,1,4,5.19295685089021,1
28901091,3,3,1.0,1.0,30,5.231108616854587,5.204006687076795,4.93,4.95,4.81,1,1,1,0,1,5,5.293304824724492,1
28965609,3,4,1.0,2.0,30,4.30406509320417,3.8501476017100584,4.96,4.96,4.81,1,0,1,1,1,5,5.517452896464707,1
28976484,2,1,1.0,1.0,30,5.342334251964811,3.1780538303479458,5.0,5.0,5.0,1,0,1,1,1,5,5.0689042022202315,1
29008767,3,2,1.0,1.0,30,5.7899601708972535,3.8918202981106265,4.98,5.0,4.88,1,1,1,1,1,5,4.897839799950911,0
29012259,2,1,1.0,2.0,30,5.187385805840755,1.6094379124341003,5.0,5.0,4.4,1,0,1,0,1,1,4.248495242049359,0
29015079,3,2,1.0,1.0,30,5.087596335232384,4.143134726391533,4.89,4.87,4.83,1,1,1,1,1,6,5.043425116919247,1
29025649,3,3,1.0,1.0,30,4.330733340286331,2.70805020110221,4.4,4.53,4.33,1,1,1,0,1,5,4.532599493153256,0
29054576,3,2,1.0,1.0,30,4.477336814478207,3.1780538303479458,4.88,4.92,4.71,1,1,1,1,1,5,5.247024072160486,0
29074233,3,4,1.0,1.0,30,3.8066624897703196,5.54907608489522,4.61,4.7,4.59,1,1,0,0,1,5,4.736198448394496,0
29097472,3,5,2.0,3.0,30,5.54907608489522,1.9459101490553132,5.0,5.0,4.86,1,1,1,1,1,5,5.857933154483459,0
29104053,2,2,1.0,0.0,30,5.8944028342648505,1.3862943611198906,5.0,5.0,5.0,1,1,1,0,1,5,4.584967478670572,0
29105563,3,4,1.0,1.0,30,5.2832037287379885,3.912023005428146,4.8,4.84,4.7,1,1,1,1,1,5,4.442651256490317,0
29124414,3,5,1.0,2.0,30,4.727387818712341,2.9444389791664403,4.74,4.95,4.68,1,1,1,0,1,5,5.0106352940962555,0
29152320,3,2,1.0,1.0,30,4.477336814478207,3.6375861597263857,4.55,4.58,4.45,1,1,1,0,1,4,4.787491742782046,0
29158689,3,9,1.0,3.0,30,0.0,4.143134726391533,4.87,4.95,4.84,1,1,1,1,1,5,5.857933154483459,0
29168569,2,2,1.0,1.0,30,5.648974238161206,1.9459101490553132,5.0,5.0,5.0,1,1,1,1,1,5,4.110873864173311,1
29184626,2,2,1.0,1.0,2,5.831882477283517,5.247024072160486,4.75,4.8,4.71,1,1,1,0,0,5,5.0106352940962555,0
29256229,2,4,1.0,2.0,30,5.8998973535824915,4.3694478524670215,4.73,4.8,4.76,1,1,1,0,1,3,4.804021044733257,0
29256358,3,3,1.0,0.0,30,5.1298987149230735,5.159055299214529,4.89,4.92,4.87,1,1,1,0,1,5,4.700480365792417,0
29260051,3,2,1.0,0.0,30,4.68213122712422,5.420534999272286,4.79,4.87,4.79,1,1,1,1,1,5,4.343805421853684,1
29269102,2,2,1.0,1.0,30,5.8971538676367405,2.995732273553991,4.95,4.95,4.55,1,0,1,0,1,1,4.5217885770490405,0
29281407,3,7,3.5,4.0,30,5.181783550292085,2.9444389791664403,4.74,4.63,4.32,1,1,1,1,1,3,7.412160334945205,0
29329780,3,4,0.0,0.0,30,4.330733340286331,0.0,0.0,0.0,0.0,1,1,1,1,1,7,4.553876891600541,1
29358344,3,6,1.5,3.0,2,5.799092654460526,0.6931471805599453,5.0,5.0,5.0,1,1,1,1,1,5,5.8971538676367405,0
29361650,2,2,1.0,1.0,30,5.8916442118257715,0.0,0.0,0.0,0.0,1,0,1,1,1,5,5.19295685089021,0
29385308,3,2,1.0,1.0,30,5.176149732573829,2.3978952727983707,4.64,4.91,4.91,1,1,1,0,1,5,5.075173815233827,0
29391852,2,2,1.0,1.0,30,4.897839799950911,4.543294782270004,4.85,4.94,4.88,1,1,1,0,1,5,4.248495242049359,0
29412402,2,1,1.0,1.0,30,5.823045895483019,2.772588722239781,4.75,4.5,4.63,1,0,1,1,1,5,3.912023005428146,1
29416565,3,2,1.0,1.0,30,4.477336814478207,2.4849066497880004,4.83,4.83,4.75,1,0,1,1,1,5,5.68697535633982,0
29487347,2,3,1.0,2.0,30,3.4657359027997265,4.820281565605037,4.9,4.94,4.75,1,1,1,1,1,5,5.272999558563747,1
29514309,2,2,1.0,1.0,3,5.5254529391317835,2.70805020110221,4.73,4.73,4.73,1,0,1,1,1,5,5.389071729816501,1
29535295,3,3,1.0,1.0,30,4.912654885736052,3.4011973816621555,5.0,4.9,4.8,1,1,1,0,1,5,4.442651256490317,1
29567482,3,2,1.0,1.0,5,5.3230099791384085,4.276666119016055,4.96,4.99,4.88,1,1,1,1,1,4,5.602118820879701,1
29575293,2,2,1.0,1.0,1,3.9318256327243257,5.7430031878094825,4.85,4.91,4.8,1,1,1,0,0,5,4.875197323201151,1
29585551,2,1,1.0,1.0,30,4.465908118654584,4.7535901911063645,4.79,4.9,4.69,1,1,0,0,1,5,4.454347296253507,0
29654321,3,2,1.0,1.0,30,5.793013608384144,4.248495242049359,4.84,4.91,4.73,1,1,1,1,1,6,5.198497031265826,1
29659322,2,1,1.0,1.0,30,5.541263545158426,3.7376696182833684,5.0,5.0,4.93,1,1,1,0,1,5,4.248495242049359,0
29683293,2,2,1.0,1.0,30,4.477336814478207,2.5649493574615367,5.0,5.0,5.0,1,1,0,0,1,5,4.0943445622221,0
29684573,2,2,1.0,1.0,1,5.857933154483459,5.087596335232384,4.96,4.95,4.84,1,1,1,1,0,1,4.634728988229636,1
29700761,3,4,1.5,2.0,30,4.890349128221754,3.367295829986474,4.93,4.97,4.93,1,1,1,1,1,5,5.857933154483459,0
29702007,3,2,1.0,2.0,30,3.6888794541139363,3.2188758248682006,4.8,4.88,4.8,1,0,0,0,1,5,4.941642422609304,0
