"id","price","bedrooms"
739333866230665344,89,1
572612125615500032,45,1
45267941,107,1
838141198693830656,140,3
1082660771919357952,340,4
53190949,54,1
1020282701018874368,47,1
1029666092532042240,280,2
13234457,60,1
1199996055054384128,180,2
806559695552186368,150,2
773237631431486592,150,2
1097125455525075712,295,1
760086536368275328,495,2
1189243425411300608,58,0
310325,75,1
44866024,325,2
1168091987963126528,149,2
1233332599257101824,36,1
1203101908839088896,900,1
51927795,399,0
681730243323738624,79,1
1010698130171630208,101,0
1080524247229234432,116,1
303264,250,2
1043748746630664832,602,1
790530143812144384,203,1
651593916026998400,80,1
1233291236181154816,63,1
1208099973553742592,231,1
796986371882195200,48,0
640443472855597440,194,2
725482656106188032,400,1
27454904,225,0
581828450067457792,348,1
1004979479809147264,45,1
969035784970111360,225,2
46999617,175,2
818099336473939584,191,2
847907277684435072,64,1
748537688760859904,180,1
49009747,53,4
675959117355164672,137,1
27082137,60,1
1071083738326573568,46,1
1205761267577581056,98,1
622964050408357760,200,2
814741679869275264,149,1
1202348834470237184,230,2
735631763810679552,300,0
4920338,310,1
980573611700193408,119,1
1110201796954441216,120,1
50550783,72,5
52025370,236,3
913651695148256640,200,1
42582390,155,1
762355634788904576,56,1
773305417769982464,130,1
52562444,208,1
62925,285,2
1012904436227012224,229,1
978191817244397824,220,1
913179698983804288,136,1
1138111749584246784,40,4
1174664876231706624,600,1
810121182812488960,444,1
1169735081820698112,97,2
14216896,165,2
946191121459066880,65,1
33077083,160,1
31178588,125,1
1202874477964231936,468,3
39929061,75,2
880473158416436096,219,1
53460762,60,1
610418835243217792,59,1
1005945620349053824,200,1
43612639,80,1
1224117475056038144,43,1
1174000674878488064,250,0
54395062,245,2
1042002912312009344,250,1
23224129,80,1
1203866180302079232,66,1
26327452,75,1
1139789223673640320,35,1
768469248929332224,150,1
805863165104844800,49,1
1032927026252673152,71,1
42220146,99,1
2999527,600,1
10350976,105,1
613045587854720384,250,1
47276861,529,1
868172672914462336,51,1
974059099437963904,80,1
25235760,43,1
939431170319588480,150,2
24784400,100,0
1081935749436412288,120,1
54131340,140,0
818879228507700736,65,1
53357250,100,1
773214568696699008,282,3
1138585505172289408,224,1
1051505442588448768,322,1
766040817482157696,146,1
982787887777810304,124,1
1826701,65,1
33937466,100,1
975923866742134272,187,1
632632066789092224,60,1
8190747,75,1
4668244,150,1
1090118807511156992,50,1
1204425369999207168,48,1
45988097,329,2
654544771425247872,104,1
973354135681593472,52,1
837867086560680704,150,1
947506677820065408,70,1
1164402494958427904,33,1
828902214755540608,50,0
715501176123029888,124,2
627075354277215360,95,1
32670456,74,1
1112943486461239168,142,1
16962471,137,2
869485537018723072,115,1
1220992923841391360,99,1
1080563234569887488,150,1
1020696614069404288,85,1
960875317288334592,175,1
886529699184775808,162,1
710385606950283136,82,1
1013896771741699712,76,1
29800915,59,1
556637820525993920,45,1
1047936827694607872,54,1
572326531219816192,402,1
15476794,125,1
39411592,70,1
1167308666261923584,144,1
53343701,500,1
570245065716823872,700,2
724517724355614720,66,1
751699636457395712,70,1
1146548462465101568,190,0
43530040,66,1
35496842,70,1
726038186245782016,73,0
839233785270413824,40,1
1000972009684425088,45,1
891259523090721280,72,1
21818110,48,1
921731972122044672,955,4
54263674,100,0
736216685759993216,84,1
958972019916575232,53,1
902225058371011584,100,1
906708901829665664,105,0
937880575429081472,199,1
37262517,160,1
583325206900651136,46,1
714525159374684032,338,1
53358037,250,3
836466517534567936,185,3
820166028658823552,90,1
552782382741181888,50,1
1224652167402740480,191,2
1097848686671488000,57,1
595025950780985600,98,1
820361475735199744,159,1
765990025204967552,71,2
39340734,75,1
598713051061239296,120,0
815196047046719872,223,2
36698970,140,1
1208037661418104832,97,1
1046506922921701120,46,1
888236603222563840,98,4
1137622612757446272,48,1
14215652,180,1
10824871,120,1
1121085081120589824,175,2
803150657798963072,79,1
46671693,72,1
649219147279911936,37,1
24057583,69,1
45524309,60,4
38609434,120,1
973379136714119936,45,1
1032106564091058048,100,1
1126919451935895168,200,3
1177479478277828864,99,4
790126950595547904,155,2
45494351,97,3
18718195,140,1
692599752789657728,66,1
647125962319558656,165,2
784294277993627648,600,1
1169296521633718016,110,1
1151565053985705088,250,1
1046632736813066368,511,3
53937868,165,3
51883399,101,2
1158031589091051520,449,2
634696594171846144,190,0
848458045522763648,175,1
963816554240880896,375,1
1181127097467286016,447,1
1035076510299200256,65,1
1033569522990106112,1029,2
656613711417727488,45,1
1173927882151572736,500,2
50735000,99,1
880643090819651712,220,1
902718214390417920,38,4
691373277862293248,155,1
786149074369437312,152,1
726026082789429632,113,1
854439069631231360,117,1
737474142949878784,80,1
1175282215984440320,250,0
993554226277677312,71,3
950633540058086912,68,1
645088514323491712,66,1
815406323850393344,37,1
892205665073544064,90,1
688696272821787520,263,2
43388163,35,1
31836311,34,1
51804585,70,1
52132742,50,1
38161818,40,1
1215457493984728576,92,1
22980907,55,1
832361738655224960,76,3
